text,label
" mood can be caused by infectious diseases, nutritional deficiencies, neurological conditions, and physiological problems.",0
"With all of this unnessary  family drama, I feel like moving far away and starting over again. From one thing to another I just feel . Hope I get through this",1
"I'm going to keep banging on about this, cos it's true. What you focus on, you get more of. Stop telling yourself you're  or . Tell yourself you're happy, strong, confident, powerful. Not only cos you ARE, but cos your brilliant mind listens to what you tell it. pic.twitter.com/gBQn7yEjsJ",0
Ugh. Woke up to the same acne covered face this morning... Yyayyy????,0
Portable Transparent Tobacco Rolling Machine  pic.twitter.com/k7Sb0Q11fW,0
Certain medications are known to cause  mood in a significant number of patients.,0
"I feel so sad because i can't be happy, and that makes me more unhappy  ",1
I went to church with my mom and a huge chunk of the sermon was basically if youre  its because your faith is weak and ... this is why I dont go to church or tell my mom Im on antidepressants ???????,1
No love here....    pic.twitter.com/FuvBXIPRnu,1
I see so many people moving forward with their life and doing great things and here I am doing absolutely nothing????????    pic.twitter.com/yiiq7LQqk7,1
Didnt get to live through the  but Ive sure been to a lot of steak and shakes,0
bro why is everyone so  and blacked out? i was gone for 5 hours and all hell broke loose,0
So Im trying to help myself. To understand my depression. Im reading a book named The Chimp Paradox. Amazing book but Ive a lot of therapy to do ?? Brain training. Ill get happy.,1
i just need for someone to rub my head tonight ...,1
There days where I wanna end my life so bad because of my little sister. My parent I call her names and I am spoiled the one but yet she get everything and goes into my room takes everything. She the one that I am scared also who hurts me the most. .,1
Your inner bitch will do all she can to convince you that everything is hopeless and you are beyond . She loves you being  cos she has a captive audience to listen to her negativity. Don't fall for her BS! Nothing is ever as hopeless as she makes out.  pic.twitter.com/dBXeDgF3eR,0
Well i guess no clockwork for me ????,1
"""It's all pointless.."" - a statement a  brain would make. Non-depressed brains would probably never come up with it, no matter how bad life was. Ultimately life does look pointless. But we're here. You & I. Alive. Now. Please grab onto life & hold on. ",0
Have you ever danced till you fainted! It has a great feeling especially when you feel depressed ,0
"You keep losing your self respect , if u keep giving them chances.??   ",0
"A  to life is so important. Its very possible... by being in a  mood youre depressing your immune system, meaning you cannot fight diseases as best you can. Drs. Joan and Peter Cohn. Get out there and spread  today!",0
Cant eat. Cant sleep. Everything is just falling to pieces ?? Im so tired of watching my world crumble,1
I'm stuck around 885 for so long  I haven't gained a follow today! 1!!1!1!1!  Im  now  Gonna   /s,0
Today I ate 1 month old rancid meat because I forgot what month it was.   .,1
It always hurts to be the one who cared more ??,1
I'm having trouble catching my breath.,1
Plum Blossom Patterned White Ceramic Smoking Pipe  ,0
just got my phone confiscated for doing an anxiety test  great.  whelp bye again.,0
I normally dont talk about myself. But i feel like shit.  I just lost my challenge match in tennis so now my position is going down. And i wouldnt be so mad if the didnt call balls that were on the line.  Like come on girl. Stop cheating.,1
"The world I was raised in there is no give in take just take,take,take,take,take,take,take,take even when you don't think you have anything left to give the world wants that to. I could go for some positive vibes today. ",1
"Everyone tells me the pain will fade. Maybe I dont want it to, its the only thing that still connects me to you   ",1
"When I say ""I want to die"", they say""Let's do it, no one gonna care you anymore"" It's make me feel pity of my life more. I just want someone to hug me when I cry. But it not gonna happen.""",1
Apparently a mosquito bit the inside of my thigh and all I can think of is how thats the most action Ive had in months.,1
Why do I always feel the need to document my attacks? So I look back and see how dumb and helpless I look? Just a bad one. Havent had them in a while. I need tips and tricks to shorten them.,1
I miss my mom. The dreams are too much.,1
I feel so confused Right now... One topic is telling me- you gotta move on or ditch this dude....  Another topic appeared saying- let's have a good time baby...  What the fuck dudes..,0
Often I go to bed as soon after dinner as seems adult (I mean I try to wait for dark) in order to push away from the massive pain in sleeps frail wicker coracle.,1
When i have nobody to talk to. Nobody to rely on. Trap in my own space. Living becomes so meaningless.  ?,1
low-key high-key  im not at kcon la rn?? I WANNA GO SO BAD OMG yall better catch me next year at kcon la 2020 having high-touch with my boys seungwoo and eunsang akshsj,0
Cavalry Style Electronic Cigarette  pic.twitter.com/3ia1npbgPU,0
Im so fuckin upset rn. Not coming back to twitter for a while. Im so fucking done with everything rn. This sucks.,1
You all ever heard a song so good but now you cant remember it,0
I am so forlorn there are no words to express it accurately......,1
Nobody chooses to be . But we do have the power to choose how we deal with it. We can give in & let the black dog hound us.  Or we can choose to fight the inner b*tch that keeps us prisoner. Start by choosing to ignore her voice & choose  thoughts instead. pic.twitter.com/qQNAgbgC1I,0
Sometimes I wonder if Tom Selleck ever thinks about me and then I remember that Tom Selleck has absolutely no idea who I am.,0
"If you cheat, you are trash. I don't care what the situation is, doesn't matter. Nobody deserves to fall asleep at night wondering why they weren't enough?? ",0
"Since someone deactivated, i don't know who  So i m  now  Gonna ",0
How do u know if your  ?? Asking for a friend,0
Ive done enough today time 2 he,0
I am the writer of my own disasters,0
IN NEED OF My WAVES and little CURLS,0
of course my only follower unfollows,0
"Older  people may have cognitive symptoms of recent onset, such as , and a more noticeable slowing of movements.",0
This is a tragic day lads ??   pic.twitter.com/QvHVGfnJFZ,0
"A  person may report multiple physical symptoms such as fatigue, headaches, or digestive problems.",0
"Insomnia is common among the . In the typical pattern, a person wakes very early and cannot get back to sleep.",0
A lot of people but they don't know me well.,1
EdGy DepReSsEd TeEnAgEr  blacked out my pfp  pic.twitter.com/bsqBWkKqZP,0
so alone so tired so bored so ugly so depressed  so so so so so so,1
I looked for help and I got it. I looked for answers I found it. Now I need to find myself.,1
"Starting to feel better but still probably take me a couple more days to get better as  moods do not go overnight, it sure as heck take some time.",1
My man has been working out of town for a year already & I still cry every time he has to leave  :(,0
my 8 year old cousin stopped sharing her location with me,0
"When I don't have anything to distract me, I just find myself peering down the balcony and seeing my bloodied self on the ground.    ",1
"Smiling had been always natural for me. It was easy to conjure up on my face. Now it became one of the hardest things to do in my life, next to living.    ",1
"I always hated suicide. But now that I think about it, it seems comforting to try.    ",1
Sometimes I don't want to think because I know that my mind will definitely plunge into imagining the life that will never happen.,1
"As a writer, it always hurts me to write happy endings when my life doesn't even have anything you can call happy since the beginning.    ",1
When you've forgotten how to speak when you haven't had anyone to listen to you for a long long time.,1
