Prompt,Model Response
"Wouldn't it be sad if from the time we were born we knew exactly where we would end up in life? I personally don't believe in fate, but it might just be because I don't want to think that I don't have control in the outcome and direction of my own personal life. I enjoy being able to think that if I wanted to, I could completely change everything, and nothing would be predetermined.  But at the same time I can't help but wonder if my life will end up the same way no matter what.

Is the person who said this depressed or not? Answer only in a Yes or a No.",]  Yes.
"France and the Allies celebrated last week end one of the most fantastic military operations ever made in the world. Never so much depended on so few courageous soldiers wo sacrified to free a continent they didn't know. I'm 26 and i knom i'm living in a free land thanks to brave young men who fought for what they believe to be right. I will always love this America but i can help thinking that today America is on the wrong way. America's grief is justified, America is right to launch attacks against a faceless ennemy who wants to burn the whole world but this fight can be boiled down to a fight between evil and good, to a crusade against barbarians, it will be dangerous and counterproductive. Europe knows how complex is the world, europe knows how high is the price of blood and Europe doesn't want to be part of the wrong war. The United States are our closest friends and friends don't have to agree on everything. On the contrary, i will be happy if my friends tell me that i'm about to make a huge mistakes, that i act like a fool. I will be very thankful and i will accept this lend hand... because i don't want to stumble and fall in the Depths

Is the person who said this depressed or not? Answer only in a Yes or a No.",]  Yes
"I am currently reading a book called ""Prayer Walking"" The concept is to strengthen you body as well as your soul. Hmmm...I think I am going to give this book a try. I do need to prayer more and get a stronger prayer life, and I do need to lose some weight. But in order to do this, I will have to get up early and actually get out there and walk. I think, once I am done with the book, I will actually get started. I will have to let you know how it goes.  Church yesterday was awesome! We had a powerful move of God and a total refreshing swept through the church. It was amazing! During last nights service, I got all the girls in the youth group up at the front dancing and jumping. It was such a great time in the Lord. Those girls are so special and God is doing great things in their lives.

Is the person who said this depressed or not? Answer only in a Yes or a No.","]  No. The person does not seem to be depressed based on the content of their statement. They express enthusiasm and excitement about their church service and the spiritual experiences they had, as well as their intention to try a new spiritual practice ("
"well i woke up kalled fabe and denton and just went sk8in at around 3 and we sk8ed on dentons street and then wnet 2 amandas then i predicted teh time from not even looking at teh clock and tehn me fabe n denton left and me n fabe walked liek 2 teh ymca where he wnet home and i wnet tehre got out and made movie plans to go c harold n kumar go 2 white caste so i wnet 2 my boys house and then we chilled there with his older bro jimmy and jims g/f danielle and then at liek 11 he gave me a ride home and heer i am now im talking to kaela n sum girl ive never met b4 so peese out

Is the person who said this depressed or not? Answer only in a Yes or a No.",]  Yes.
"I haven't felt well for a few days and I am beginning to feel better.. I don't know why, but I haven't been sick for a long time. - Weird.. but I felt sick this week.. but never threw up or anything.. just felt like shit!      School is comming very fast and I hate it. There was barely any summer whatsoever.. it was like never hott. And along with school comes soccer season.. which means lots of running and exercise.. I better get practicing.. ugh. I also was supposed to read this summer, this was supposed to happen while i was tanning - I tanned twice.  Pages for reading contract - 0     It sucks but its the truth..  I'm going to Hampton Beach with the fam. soon - what fun.. - Hopefully, I will get  some  reading and running done while I'm there.. 'cause I know I'm not gunna get any done when i get home.. well maybe a little but im not wasting the little bit of summer I have left on that shit.       Anyway.. I should get reading. My first book.. I laugh at myself.. haa

Is the person who said this depressed or not? Answer only in a Yes or a No.",]  Yes.
"So we did the Oklahoma thing.  It was actually a very beautiful lake.  On Saturday, as soon as we got into OK, it started pouring.  We were worried that our fun-filled weekend would be ruined because of the rain.  We had nothing to do.  We decided to see DODGEBALL, which was silly.  When we came out of the movies, the sun was out and the sky started to clear.  We dashed over to the lake to rent a kayak.  It was really nice and not too hot since it had been raining all day.  We then ate dinner at a local restaurant.   Sunday's weather was better.  My husband enjoyed the scuba diving, though it was not my cup of tea.  I am not certified and just sat on the shore, under the trees, trying to avoid the sun.  I told him that I might not go with him the next time he decided to dive, since it is not very interesting for me.  I know he enjoys it so much, but is definitely not a spectator sport.   I am teaching classes in a summer program for high school students.  It is going well, though some of the kids don't seem to care very much about the program.  They seem to be determined to get kicked out of the program (which will provide college tuition upon successful completion ).  I don't know.  Hopefully these kids will wake up and realize that this is a unique opportunity before they are removed.  I know that they deal with difficult stuff at home - things that I never had to deal with. . . .

Is the person who said this depressed or not? Answer only in a Yes or a No.",]  Yes.
"A kindergarten teacher gave her class a ""show and tell"" assignment. Each student was instructed to bring in an object to share with the class that represented their religion.  The first student got up in front of the class and said, ""My name is Benjamin and I am Jewish. This is a Star of David.""  The second student got up in front of the class and said, ""My name is Mary. I'm Catholic, and this is a Rosary.""  The third student got up in front of the class and said, ""My name is Tommy. I am a Baptist, and this is a casserole.""

Is the person who said this depressed or not? Answer only in a Yes or a No.","]  No. The person who said this is not depressed. The joke is that the third student, Tommy, is a Baptist, but he brings a casserole to ""show and tell"" instead of an object that represents his"
"Today got nagg from mum again....if never get nagg the world will have earthquake. But whatever it is my mum is still the best mum that i ever had,without her i won't be in this world.Tomorrow national day,going to stadium...YA! This year is such a tough year for me....got drama play.teachers' concert dance,STREAMING EXAM.... Ah....stress liao. Anyway i must study hard to go to the best class...Ok lah thats for now,write ya soon.

Is the person who said this depressed or not? Answer only in a Yes or a No.",]  Yes.
"Today was a good day...i went to church, learned some good stuff...and i saw you there.  You were setting there, as beautiful as ever, and i was happy.  Later everyone went to the lake, i enjoyed that, espacially the service, were i sat in your shadow.  If you only cared for me the way i do for you...ohh, what a love that would be.  I've been waiting for a while, but that doesn't matter, my feelings for you haven't dissapated, i doubt they will.  Your the first person i think of when i wake up, and the first person i pray for, before i sleep....what a love this could be.  countless hours spent dreaming of you, but whats sad, is that your in love with another, and there is nothing i can do to stop it.  But all in all, today was a good day.

Is the person who said this depressed or not? Answer only in a Yes or a No.",]  Yes.
"urlLink    ME at School.  urlLink     This is me at school on the last day. On my next post I'll show the pics when some friends of mine go to Wendy's. Mmmmm Good.

Is the person who said this depressed or not? Answer only in a Yes or a No.",]  Yes.
